site,landuse,landform,Depth,Horizon,fractroots,finerootfrac
R2H1,hardwood,interfluve,156,CB,0.1,0.75
R2H1,hardwood,interfluve,157,CB,0.075,1
R2H1,hardwood,interfluve,158,CB,0.1,1
R2H1,hardwood,interfluve,159,CB,0.025,1
R2H1,hardwood,interfluve,160,CB,0.025,1
R2H1,hardwood,interfluve,161,CB,0.075,1
R2H1,hardwood,interfluve,162,CB,0.075,1
R2H1,hardwood,interfluve,163,CB,0.05,1
R2H1,hardwood,interfluve,164,CB,0.025,1
R2H1,hardwood,interfluve,165,CB,0.1,1
R2H1,hardwood,interfluve,166,CB,0.05,1
R2H1,hardwood,interfluve,167,CB,0.05,1
R2H1,hardwood,interfluve,168,CB,0.05,1
R2H1,hardwood,interfluve,169,CB,0,0
R2H1,hardwood,interfluve,170,CB,0.05,1
R2H1,hardwood,interfluve,171,CB,0.1,1
R2H1,hardwood,interfluve,172,CB,0.075,1
R2H1,hardwood,interfluve,173,CB,0.075,1
R2H1,hardwood,interfluve,174,CB,0.075,1
R2H1,hardwood,interfluve,175,CB,0.05,1
R2H1,hardwood,interfluve,176,CB,0.125,1
R2H1,hardwood,interfluve,177,CB,0.05,1
R2H1,hardwood,interfluve,178,CB,0.025,1
R2H1,hardwood,interfluve,179,CB,0.05,1
R2H1,hardwood,interfluve,180,CB,0.05,1
R2H1,hardwood,interfluve,181,CB,0.05,1
R2H1,hardwood,interfluve,182,CB,0,0
R2H1,hardwood,interfluve,183,CB,0.1,1
R2H1,hardwood,interfluve,184,CB,0.05,1
R2H1,hardwood,interfluve,185,CB,0.025,1
R2H1,hardwood,interfluve,186,CB,0.05,1
R2H1,hardwood,interfluve,187,CB,0,0
R2H1,hardwood,interfluve,188,CB,0.05,1
R2H1,hardwood,interfluve,189,CB,0.05,1
R2H1,hardwood,interfluve,190,CB,0.05,1
R2H1,hardwood,interfluve,191,CB,0,0
R2H1,hardwood,interfluve,192,CB,0.025,1
R2H1,hardwood,interfluve,193,CB,0.075,1
R2H1,hardwood,interfluve,194,CB,0.05,1
R2H1,hardwood,interfluve,195,CB,0.05,1
R2H1,hardwood,interfluve,196,CB,0.025,1
R7H1,hardwood,interfluve,1,A,0.775,0.419354839
R7H1,hardwood,interfluve,2,A,0.85,0.411764706
R7H1,hardwood,interfluve,3,A,0.95,0.447368421
R7H1,hardwood,interfluve,4,A,0.925,0.135135135
R7H1,hardwood,interfluve,5,A,0.75,0.266666667
R7H1,hardwood,interfluve,6,A,0.7,0.25
R7H1,hardwood,interfluve,7,A,0.65,0.5
R7H1,hardwood,interfluve,8,A,0.525,0.619047619
R7H1,hardwood,interfluve,9,BA,0.65,0.615384615
R7H1,hardwood,interfluve,10,BA,0.6,0.458333333
R7H1,hardwood,interfluve,11,BA,0.45,0.444444444
R7H1,hardwood,interfluve,12,BA,0.375,0.666666667
R7H1,hardwood,interfluve,13,BA,0.35,0.571428571
R7H1,hardwood,interfluve,14,BA,0.4,0.6875
R7H1,hardwood,interfluve,15,BA,0.4,0.4375
R7H1,hardwood,interfluve,16,BA,0.45,0.666666667
R7H1,hardwood,interfluve,17,BA,0.325,0.769230769
R7H1,hardwood,interfluve,18,BA,0.45,0.444444444
R7H1,hardwood,interfluve,19,BA,0.45,0.5
R7H1,hardwood,interfluve,20,BA,0.5,0.35
R7H1,hardwood,interfluve,21,BA,0.575,0.652173913
R7H1,hardwood,interfluve,22,BA,0.275,0.272727273
R7H1,hardwood,interfluve,23,BA,0.35,0.857142857
R7H1,hardwood,interfluve,24,BA,0.325,0.846153846
R7H1,hardwood,interfluve,25,BA,0.25,0.7
R7H1,hardwood,interfluve,26,BA,0.225,0.777777778
R7H1,hardwood,interfluve,27,BA,0.125,1
R7H1,hardwood,interfluve,28,BA,0.125,1
R7H1,hardwood,interfluve,29,Bt1,0.225,0.555555556
R7H1,hardwood,interfluve,30,Bt1,0.6,0.583333333
R7H1,hardwood,interfluve,31,Bt1,0.5,0.7
R7H1,hardwood,interfluve,32,Bt1,0.6,0.958333333
R7H1,hardwood,interfluve,33,Bt1,0.6,0.5
R7H1,hardwood,interfluve,34,Bt1,0.65,0.346153846
R7H1,hardwood,interfluve,35,Bt1,0.45,0.5
R7H1,hardwood,interfluve,36,Bt1,0.525,0.380952381
R7H1,hardwood,interfluve,37,Bt1,0.675,0.851851852
R7H1,hardwood,interfluve,38,Bt1,0.525,0.666666667
R7H1,hardwood,interfluve,39,Bt1,0.45,0.722222222
R7H1,hardwood,interfluve,40,Bt1,0.25,0.2
R7H1,hardwood,interfluve,41,Bt1,0.325,0.461538462
R7H1,hardwood,interfluve,42,Bt1,0.325,0.692307692
R7H1,hardwood,interfluve,43,Bt1,0.375,0.066666667
R7H1,hardwood,interfluve,44,Bt1,0.35,0.071428571
R7H1,hardwood,interfluve,45,Bt1,0.275,0.454545455
R7H1,hardwood,interfluve,46,Bt1,0.35,0.642857143
R7H1,hardwood,interfluve,47,Bt1,0.325,0.538461538
R7H1,hardwood,interfluve,48,Bt1,0.25,0.7
R7H1,hardwood,interfluve,49,Bt1,0.2,0.75
R7H1,hardwood,interfluve,50,Bt1,0.225,0.555555556
R7H1,hardwood,interfluve,51,Bt1,0.15,0.333333333
R7H1,hardwood,interfluve,52,Bt1,0.175,0.428571429
R7H1,hardwood,interfluve,53,Bt1,0.25,0.6
R7H1,hardwood,interfluve,54,Bt1,0.275,0.636363636
R7H1,hardwood,interfluve,55,Bt1,0.3,0.833333333
R7H1,hardwood,interfluve,56,Bt1,0.25,0.6
R7H1,hardwood,interfluve,57,Bt1,0.175,0.714285714
R7H1,hardwood,interfluve,58,Bt1,0.25,1
R7H1,hardwood,interfluve,59,Bt1,0.325,0.153846154
R7H1,hardwood,interfluve,60,Bt1,0.225,0.555555556
R7H1,hardwood,interfluve,61,Bt1,0.325,0.692307692
R7H1,hardwood,interfluve,62,Bt1,0.35,0.357142857
R7H1,hardwood,interfluve,63,Bt1,0.225,0.555555556
R7H1,hardwood,interfluve,64,Bt1,0.3,0.416666667
R7H1,hardwood,interfluve,65,Bt1,0.25,0.4
R7H1,hardwood,interfluve,66,Bt1,0.15,0.666666667
R7H1,hardwood,interfluve,67,Bt1,0.2,0.625
R7H1,hardwood,interfluve,68,Bt1,0.225,0.666666667
R7H1,hardwood,interfluve,69,Bt1,0.2,0.5
R7H1,hardwood,interfluve,70,Bt1,0.225,0.777777778
